,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,HELIER,DELHER,ARGONER,KRYPTON,KRYPTON_FLAG_W,KRYPTONER,XENON,XENON_FLAG_W,XENONER,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,THETA,SALTREF,SALTREF_FLAG_W,SBE35,SBE35_FLAG_W,CHLORA,CHLORA_FLAG_W,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
10,1.0,14.0,11,33RO20150410,     P16N.1,1.0,14.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,466.4,10.1768,34.5775,2.0,34.5756,2.0,147.0,2.0,147.9,2.0,10.6,2.0,21.8,2.0,0.01,2.0,1.03,4.0,1.959,3.0,1.095,2.0,0.592,2.0,2177.3,3.0,2283.5,2.0,7.661,6.0,25.0,0.104,2.0,1.7823,2.0,1.72,2.0,10.1737,0.59,2.0,11.5,2.0,2.1,7.529,2.0,0.019,46.3,2.0,,9.0,,9.0,0.002,0.0046,0.2,,,9.0,,,9.0,,,9.0,,,9.0,,10.1216,34.7386,2.0,,2.0,,9.0,25.823,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
11,1.0,13.0,12,33RO20150410,     P16N.1,1.0,13.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,600.0,6.7517,34.4408,2.0,34.4415,2.0,140.4,2.0,140.5,2.0,26.6,2.0,31.0,2.0,0.01,2.0,1.53,4.0,0.78,3.0,0.409,2.0,0.221,2.0,2201.2,2.0,2293.3,2.0,7.5739,2.0,25.0,0.031,2.0,,9.0,,9.0,6.7526,0.58,2.0,-67.4,2.0,1.9,,9.0,,43.1,2.0,,9.0,,9.0,0.002,,,,,9.0,,,9.0,,,9.0,,,9.0,,6.6955,34.6039,6.0,,2.0,,9.0,29.149,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
12,1.0,12.0,13,33RO20150410,     P16N.1,1.0,12.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,749.7,5.5006,34.4639,2.0,34.4651,2.0,136.6,2.0,138.1,2.0,44.2,2.0,33.6,2.0,0.0,2.0,1.89,4.0,0.247,3.0,0.146,2.0,0.199,3.0,2233.6,3.0,2311.4,2.0,7.5601,2.0,25.0,0.009,2.0,1.8516,2.0,11.98,2.0,5.5029,0.44,2.0,-111.2,2.0,2.0,7.873,2.0,0.02,41.4,2.0,,9.0,,9.0,0.002,0.0048,0.2,,,9.0,,,9.0,,,9.0,,,9.0,,5.4367,34.6276,2.0,,3.0,,9.0,28.591,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
13,1.0,11.0,14,33RO20150410,     P16N.1,1.0,11.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,900.3,4.5673,34.4838,2.0,34.4824,2.0,141.6,2.0,140.9,2.0,59.0,2.0,34.6,2.0,0.01,2.0,2.14,4.0,0.192,3.0,0.064,2.0,0.092,3.0,2245.6,2.0,2325.9,2.0,7.5594,6.0,25.0,0.009,2.0,,9.0,,9.0,4.5706,0.43,2.0,-140.9,2.0,1.7,,9.0,,43.6,2.0,,9.0,,9.0,0.002,,,,,9.0,,,9.0,,,9.0,,,9.0,,4.4959,34.645,2.0,,3.0,,9.0,25.735,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
14,1.0,10.0,15,33RO20150410,     P16N.1,1.0,10.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,1050.1,3.8845,34.516,2.0,,9.0,137.7,2.0,138.3,2.0,,9.0,,9.0,,9.0,,9.0,0.025,3.0,0.022,2.0,0.041,3.0,2262.4,2.0,2342.0,2.0,7.5522,2.0,24.99,0.001,2.0,,9.0,,9.0,3.8829,0.29,2.0,-161.0,2.0,1.7,,9.0,,41.4,2.0,,9.0,,9.0,0.001,,,,,9.0,,,9.0,,,9.0,,,9.0,,,,9.0,,2.0,,9.0,25.149,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
15,1.0,9.0,16,33RO20150410,     P16N.1,1.0,9.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,1232.0,3.304,34.5456,2.0,34.5468,2.0,140.7,2.0,140.6,2.0,86.5,2.0,35.9,2.0,0.01,2.0,2.6,4.0,0.016,3.0,0.009,2.0,0.087,3.0,2273.1,2.0,2355.7,2.0,7.5531,2.0,25.0,-0.002,2.0,1.8947,2.0,21.2,2.0,3.3036,0.26,2.0,-184.3,2.0,1.6,8.018,2.0,0.02,42.8,2.0,,9.0,,9.0,0.002,0.0049,0.2,,,9.0,,,9.0,,,9.0,,,9.0,,3.2151,34.7097,2.0,,2.0,,9.0,24.212,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
16,1.0,8.0,17,33RO20150410,     P16N.1,1.0,8.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,1500.5,2.763,34.5794,2.0,34.5812,2.0,144.6,2.0,145.7,2.0,98.7,2.0,35.7,2.0,0.01,2.0,2.78,4.0,0.011,3.0,0.006,2.0,0.1,3.0,2286.0,2.0,2368.9,2.0,7.5593,2.0,25.0,0.003,2.0,,9.0,,9.0,2.7623,0.24,2.0,-193.6,2.0,1.7,,9.0,,41.4,2.0,,9.0,,9.0,0.001,,,,,9.0,,,9.0,,,9.0,,,9.0,,2.6578,34.7442,2.0,,2.0,,9.0,23.056,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
17,1.0,7.0,18,33RO20150410,     P16N.1,1.0,7.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,1867.3,2.2923,34.6196,2.0,34.6219,2.0,148.7,2.0,146.0,2.0,110.8,2.0,35.6,2.0,0.0,2.0,2.96,4.0,0.001,3.0,0.004,2.0,0.084,3.0,2293.1,2.0,2383.1,2.0,7.5661,3.0,25.0,0.002,2.0,,9.0,,9.0,2.2923,0.1,2.0,-209.0,2.0,1.7,,9.0,,38.4,2.0,,9.0,,9.0,0.001,,,,,9.0,,,9.0,,,9.0,,,9.0,,2.1627,34.7851,2.0,,2.0,,9.0,22.236,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
18,1.0,6.0,19,33RO20150410,     P16N.1,1.0,6.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,2267.8,1.9794,34.6492,2.0,34.6507,2.0,151.3,2.0,151.4,2.0,120.7,2.0,35.5,2.0,0.0,2.0,3.1,4.0,0.003,3.0,0.001,2.0,0.0,2.0,2301.9,2.0,2392.1,2.0,7.5717,2.0,25.01,,9.0,,9.0,,9.0,1.9794,,9.0,,9.0,,,9.0,,38.0,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.8202,34.8141,2.0,,2.0,,9.0,21.719,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
19,1.0,5.0,20,33RO20150410,     P16N.1,1.0,5.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,2667.2,1.8154,34.6661,2.0,34.6663,2.0,153.9,2.0,153.4,2.0,127.0,2.0,35.5,2.0,0.0,2.0,3.18,4.0,0.005,3.0,0.0,2.0,0.0,2.0,2308.0,2.0,2399.8,2.0,7.5767,6.0,25.01,,9.0,,9.0,,9.0,1.8156,,9.0,,9.0,,,9.0,,38.5,2.0,,9.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,1.6232,34.8297,2.0,,2.0,,9.0,21.248,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
