STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,THETA,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
1,114,11,33RO20100308,      A13.5,1,14,11708,2,20100314,910,-54.0007,0.0002,2545,600.9,1.5734,34.7008,2,34.7007,2,187.8,2,188.7,2,94.7,2,32.18,2,0.04,2,2.27,2,0.477,2,0.239,2,0.129,2,2255.0,2,2347.1,2,1109.0,2,20.0,7.5896,2,25.0,,1,,1,,9,1.5731,2,0.52,2,-155.6,2,2.7,0.619,3,38.52,2,33.96,2,600.9,1.5412,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,113,12,33RO20100308,      A13.5,1,13,11031,2,20100314,910,-54.0007,0.0002,2545,701.5,1.4968,34.7077,2,34.7076,2,191.1,2,203.0,4,96.84,2,32.1,2,0.04,2,2.26,2,0.451,2,0.228,2,0.212,2,2255.3,2,2349.9,2,1106.9,2,20.0,7.5931,2,25.0,,1,,1,,9,1.4963,2,0.48,2,-151.5,2,2.4,0.586,3,39.16,2,33.62,2,701.5,1.459,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,112,13,33RO20100308,      A13.5,1,12,11027,2,20100314,910,-54.0007,0.0002,2545,798.3,1.4096,34.7143,2,34.7133,2,195.0,2,194.5,2,98.79,2,31.77,2,0.04,2,2.23,2,0.407,2,0.207,2,0.22,2,2255.3,2,2350.7,2,1082.5,2,20.0,7.5989,2,25.0,,1,,1,,9,1.4088,2,0.49,2,-152.3,2,2.4,0.536,3,39.13,2,33.38,2,798.3,1.3665,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,111,14,33RO20100308,      A13.5,1,11,11707,3,20100314,910,-54.0007,0.0002,2545,900.3,1.2975,34.714,2,34.7097,3,197.2,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,1.2973,2,,9,,9,,,9,,9,,9,900.3,1.2489,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,110,15,33RO20100308,      A13.5,1,10,11003,2,20100314,910,-54.0007,0.0002,2545,1000.7,1.1623,34.713,2,34.7135,2,199.2,2,199.1,2,105.17,2,31.82,2,0.04,2,2.23,2,0.382,2,0.19,2,0.116,2,2254.6,2,2354.4,2,1094.5,2,20.0,7.6027,2,25.0,,1,,1,,9,1.162,2,0.51,2,-158.0,2,2.6,0.509,3,39.26,2,33.78,2,1000.7,1.1085,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,109,16,33RO20100308,      A13.5,1,9,11706,2,20100314,910,-54.0007,0.0002,2545,1101.1,1.063,34.711,2,,9,201.2,2,200.8,2,,9,,9,,9,,9,0.368,6,0.182,6,0.105,6,2255.7,2,2351.7,2,1086.2,2,20.0,7.6025,2,25.0,,9,,1,,9,1.0624,2,0.5,2,-160.0,2,2.3,0.494,3,38.89,2,34.15,2,1101.1,1.0038,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,108,17,33RO20100308,      A13.5,1,8,11033,2,20100314,910,-54.0007,0.0002,2545,1200.0,0.9644,34.708,2,34.708,2,202.0,2,202.4,2,110.09,2,31.96,2,0.03,2,2.25,2,0.375,2,0.185,2,0.112,2,2257.6,2,2351.9,2,1082.0,2,20.0,7.6034,2,25.0,,1,,1,,9,0.964,2,0.46,2,-156.4,2,2.4,0.503,3,38.72,2,33.73,2,1200.0,0.8998,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,107,18,33RO20100308,      A13.5,1,7,11705,2,20100314,910,-54.0007,0.0002,2545,1299.3,0.8663,34.7026,2,34.7029,2,202.9,2,203.4,2,112.79,2,32.12,2,0.03,2,2.26,2,0.41,2,0.201,2,0.096,2,2257.3,2,2354.4,2,1075.4,2,20.0,7.5997,2,25.0,,1,,1,,9,0.8667,2,0.46,2,-155.4,2,2.6,0.541,3,39.2,2,34.06,2,1299.3,0.7963,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,106,19,33RO20100308,      A13.5,1,6,11029,2,20100314,910,-54.0007,0.0002,2545,1500.1,0.684,34.6961,2,34.6955,2,206.1,2,206.4,2,118.07,6,32.49,6,0.02,6,2.28,2,0.411,2,0.198,2,0.084,2,2258.2,2,2353.4,2,1093.0,2,20.0,7.5988,2,25.0,,1,,1,,9,0.6837,2,0.45,2,-149.9,2,3.1,0.557,3,39.16,2,34.6,2,1500.1,0.6029,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,105,20,33RO20100308,      A13.5,1,5,11704,2,20100314,910,-54.0007,0.0002,2545,1700.3,0.5424,34.6903,2,34.6877,2,208.0,2,211.5,4,122.4,6,32.66,6,0.02,6,2.29,2,0.421,2,0.199,2,0.082,2,2260.4,2,2353.6,2,1085.1,2,20.0,7.5963,2,25.0,,1,,1,,9,0.5427,2,0.47,2,-152.8,2,2.3,0.578,3,39.2,2,34.41,2,1700.3,0.4495,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,104,21,33RO20100308,      A13.5,1,4,11030,2,20100314,910,-54.0007,0.0002,2545,1900.1,0.4593,34.687,2,34.6871,2,209.3,2,209.2,2,125.81,6,32.82,6,0.01,6,2.3,2,0.416,2,0.198,2,0.084,2,2262.1,2,2352.2,2,1098.8,6,20.0,7.595,2,25.0,,1,,1,,9,0.4588,2,0.41,2,-155.8,2,2.3,0.595,3,39.61,2,34.13,2,1900.1,0.3536,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,103,22,33RO20100308,      A13.5,1,3,11703,3,20100314,910,-54.0007,0.0002,2545,2099.6,0.4059,34.6845,2,34.6808,2,210.6,2,,9,,9,,9,,9,,9,,9,,9,,9,2261.5,2,,9,,9,,,9,,,9,,9,,9,0.4054,2,,9,,9,,,9,38.51,2,35.17,2,2099.6,0.2865,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,102,23,33RO20100308,      A13.5,1,2,11702,2,20100314,910,-54.0007,0.0002,2545,2300.8,0.3886,34.6832,2,34.6851,2,211.6,2,211.3,2,130.98,6,32.95,6,0.01,6,2.31,2,0.419,6,0.197,6,0.109,2,2262.8,2,2354.8,2,1108.6,2,20.0,7.5944,2,25.0,,1,,1,,9,0.388,2,0.46,2,-154.5,2,2.5,0.611,3,39.03,2,34.59,2,2300.8,0.2542,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,101,24,33RO20100308,      A13.5,1,1,11701,2,20100314,910,-54.0007,0.0002,2545,2544.2,0.3944,34.6827,2,,9,211.6,2,210.5,6,133.63,2,33.02,2,0.03,2,2.32,2,0.426,2,0.2,2,0.121,2,2262.0,6,2346.6,2,1098.8,2,20.0,7.5925,2,25.0,,1,,1,,9,0.3943,2,0.53,2,-157.1,2,2.8,0.6,3,39.3,2,35.29,2,2544.2,0.2406,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,124,25,33RO20100308,      A13.5,1,24,11714,2,20100314,1533,-53.5,0.0695,2538,4.3,2.3434,33.7513,2,33.7513,2,328.9,2,328.5,2,25.0,2,23.17,2,0.28,2,1.58,2,5.618,2,3.013,2,2.403,2,2149.6,6,2284.4,2,777.7,2,20.0,7.7234,2,25.0,,9,,9,,9,2.3414,2,,9,,9,,7.07,3,,9,,9,4.3,2.3432,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,123,26,33RO20100308,      A13.5,1,23,11713,3,20100314,1533,-53.5,0.0695,2538,44.6,2.3324,33.7524,2,,9,330.7,2,,9,25.15,2,23.25,2,0.28,2,1.58,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,2.3309,2,,9,,9,,,9,,9,,9,44.6,2.33,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
