,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA,DELHER,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
11,1.0,23.0,12,096U20160426,       P15S,1.0,2023.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.6,1.793,34.733,2.0,34.7328,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.567,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
12,1.0,15.0,13,096U20160426,       P15S,1.0,2015.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.7,1.795,34.733,2.0,34.7322,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.036,2.0,0.017,2.0,0.052,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.569,,23.5498,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
13,1.0,5.0,14,096U20160426,       P15S,1.0,2005.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.8,1.796,34.733,2.0,,9.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.57,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
14,1.0,14.0,15,096U20160426,       P15S,1.0,2014.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.8,1.795,34.733,2.0,34.7324,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.039,2.0,0.018,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.569,,22.7617,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
15,1.0,16.0,16,096U20160426,       P15S,1.0,2016.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.8,1.794,34.733,2.0,34.7341,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.037,2.0,0.017,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.568,,24.3268,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
16,1.0,20.0,17,096U20160426,       P15S,1.0,2020.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.0,1.793,34.733,2.0,34.7329,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.567,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
17,1.0,25.0,18,096U20160426,       P15S,1.0,2025.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.0,1.794,34.733,2.0,34.7333,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.568,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
18,1.0,11.0,19,096U20160426,       P15S,1.0,2011.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.2,1.794,34.733,2.0,34.7323,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.034,2.0,0.018,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.568,,21.1433,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
19,1.0,10.0,20,096U20160426,       P15S,1.0,2010.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.3,1.795,34.733,2.0,34.7419,3.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.034,2.0,0.018,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5689,,20.9145,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
20,1.0,19.0,21,096U20160426,       P15S,1.0,2019.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3025.4,1.793,34.733,2.0,34.7328,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.567,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
