,STNNBR,CASTNO,CTDPRS,Unnamed: 0,EXPOCODE,SECT_ID,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,SBE35,SBE35_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0,Cruise,N2O,d15Nbulk,d18O,SP,woce_lines,startDate,endDate,source,N2O_FLAG_W
599,17.0,1.0,150.2,519,49NZ20070724,        P01,33.0,,2.0,33.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,4.821,2.0,33.6748,2.0,33.6565,2.0,220.97,2.0,221.44,2.0,48.88,2.0,25.87,2.0,0.02,2.0,1.988,2.0,3.619,6.0,1.95,6.0,0.216,6.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,4.82146,2.0,0.23,0.11,0.01,0.015,,9.0,,,9.0,,4.8098,26.646,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
600,17.0,1.0,199.5,520,49NZ20070724,        P01,32.0,,2.0,32.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,4.2485,2.0,33.7095,2.0,33.7171,2.0,192.79,2.0,190.24,2.0,58.44,2.0,29.14,2.0,0.02,2.0,2.212,2.0,3.241,2.0,1.724,2.0,0.201,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,4.23385,2.0,0.25,0.11,0.01,0.016,,9.0,,,9.0,,4.2345,26.7355,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
601,17.0,1.0,249.7,521,49NZ20070724,        P01,31.0,,2.0,31.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,3.8706,2.0,33.7648,2.0,33.7399,6.0,160.22,2.0,159.53,2.0,70.99,2.0,32.95,2.0,0.02,2.0,2.478,2.0,2.995,2.0,1.581,2.0,0.184,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,3.8616,2.0,0.28,0.13,0.01,0.016,,9.0,,,9.0,,3.8537,26.8183,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
602,17.0,1.0,329.2,522,49NZ20070724,        P01,30.0,,2.0,30.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,4.4717,2.0,33.9884,2.0,33.9816,2.0,110.42,2.0,110.57,2.0,79.51,2.0,35.08,2.0,0.04,2.0,2.584,2.0,1.954,2.0,1.007,2.0,0.112,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,4.47098,2.0,0.29,0.13,0.01,0.016,,9.0,,,9.0,,4.4475,26.9345,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
603,17.0,1.0,430.0,523,49NZ20070724,        P01,29.0,,2.0,29.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,4.5012,2.0,34.1352,2.0,34.1411,2.0,77.83,2.0,77.34,2.0,92.24,2.0,37.59,2.0,0.02,2.0,2.741,2.0,1.151,2.0,0.587,2.0,0.06,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,4.50066,2.0,0.32,0.14,0.01,0.017,,9.0,,,9.0,,4.4691,27.0488,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
604,17.0,1.0,529.6,524,49NZ20070724,        P01,28.0,,2.0,28.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,3.9746,2.0,34.1876,2.0,34.1921,6.0,58.57,2.0,57.95,2.0,106.35,2.0,39.92,2.0,0.01,2.0,2.894,2.0,0.844,2.0,0.427,2.0,0.056,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,3.97452,2.0,0.35,0.14,0.01,0.017,,9.0,,,9.0,,3.9368,27.1463,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
605,17.0,1.0,629.3,525,49NZ20070724,        P01,27.0,,2.0,27.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,3.9603,2.0,34.2897,2.0,34.2923,2.0,55.85,2.0,55.84,2.0,111.7,2.0,40.04,2.0,0.01,2.0,2.903,2.0,0.478,2.0,0.24,2.0,0.038,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,3.95932,2.0,0.36,0.14,0.01,0.017,,9.0,,,9.0,,3.9149,27.2298,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
606,17.0,1.0,729.2,526,49NZ20070724,        P01,26.0,,2.0,26.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,3.2662,2.0,34.2862,2.0,34.2865,2.0,40.34,2.0,40.18,2.0,127.15,2.0,42.14,2.0,0.01,2.0,3.039,2.0,0.472,6.0,0.236,6.0,0.03,6.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,3.266,2.0,0.4,0.15,0.01,0.018,,9.0,,,9.0,,3.217,27.2953,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
607,17.0,1.0,829.3,527,49NZ20070724,        P01,25.0,,2.0,25.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.8363,2.0,34.3126,2.0,34.3101,2.0,38.02,2.0,38.41,2.0,138.71,2.0,42.61,2.0,0.01,2.0,3.083,2.0,0.471,2.0,0.236,2.0,0.03,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.83532,2.0,0.42,0.15,0.01,0.018,,9.0,,,9.0,,2.7824,27.3558,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
608,17.0,1.0,930.1,528,49NZ20070724,        P01,24.0,,2.0,24.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.9443,2.0,34.393,2.0,34.3934,2.0,39.87,2.0,39.91,2.0,137.84,2.0,42.3,2.0,0.01,2.0,3.048,2.0,0.194,2.0,0.092,2.0,0.011,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.944,2.0,0.42,0.15,0.01,0.018,,9.0,,,9.0,,2.8822,27.4111,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
609,17.0,1.0,1069.8,529,49NZ20070724,        P01,23.0,,2.0,23.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.5997,2.0,34.4165,2.0,34.4175,6.0,38.2,2.0,38.32,2.0,148.1,2.0,42.81,2.0,0.01,2.0,3.089,2.0,0.203,2.0,0.098,2.0,0.018,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.59941,2.0,0.44,0.15,0.01,0.018,,9.0,,,9.0,,2.53,27.4607,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
610,17.0,1.0,1269.2,530,49NZ20070724,        P01,22.0,,2.0,22.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.3757,2.0,34.4744,2.0,34.4745,2.0,43.55,2.0,43.87,2.0,154.15,2.0,42.45,2.0,0.01,2.0,3.059,2.0,0.122,2.0,0.056,2.0,0.012,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.3758,2.0,0.46,0.15,0.01,0.018,,9.0,,,9.0,,2.2931,27.527,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
611,17.0,1.0,1469.5,531,49NZ20070724,        P01,21.0,,2.0,21.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.2571,2.0,34.5202,2.0,34.5191,2.0,49.63,2.0,49.54,2.0,156.63,2.0,42.26,2.0,0.01,2.0,3.038,2.0,0.054,2.0,0.023,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.25727,2.0,0.46,0.15,0.01,0.018,,9.0,,,9.0,,2.1604,27.5744,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
612,17.0,1.0,1669.2,532,49NZ20070724,        P01,20.0,,2.0,20.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,2.137,2.0,34.5537,2.0,34.5538,2.0,57.65,2.0,58.02,2.0,158.21,2.0,41.96,2.0,0.01,2.0,2.99,2.0,0.02,2.0,0.007,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.13704,2.0,0.47,0.15,0.01,0.017,,9.0,,,9.0,,2.0259,27.612,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
613,17.0,1.0,1870.9,533,49NZ20070724,        P01,19.0,,2.0,19.0,2.0,20070729.0,1412.0,40.3877,147.384,5275,2.0,1.9883,2.0,34.5835,2.0,34.5835,2.0,69.18,2.0,68.93,2.0,160.16,2.0,41.4,2.0,0.01,2.0,2.941,2.0,0.008,2.0,0.001,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.98795,2.0,0.47,0.15,0.01,0.017,,9.0,,,9.0,,1.8629,27.6487,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
